date, pm25, pm10, o3, no2, so2, co
2025/6/24, 90, 66, 16, 5, 3, 2
2025/6/25, 92, 70, 12, 4, 6, 2
2025/6/26, 96, 66, 14, 4, 3, 2
2025/6/27, 95, 71, 13, 4, 3, 2
2025/6/28, 93, 65, 12, 3, 5, 2
2025/6/29, 91, 60, 11, 3, 3, 2
2025/6/30, 85, 68, 11, 3, 1, 2
2025/1/1, 95, 60, 15, 3, 2, 3
2025/1/2, 97, 61, 17, 4, 3, 3
2025/1/3, 96, 56, 18, 5, 3, 2
2025/1/4, 93, 57, 19, 4, 2, 2
2025/1/5, 92, 63, 14, 3, 2, 2
2025/1/6, 91, 71, 13, 3, 5, 3
2025/1/7, 88, 60, 16, 4, 2, 2
2025/1/8, 97, 61, 15, 3, 5, 2
2025/1/9, 93, 55, 15, 3, 3, 2
2025/1/10, 84, 96, 23, 3, 5, 2
2025/1/11, 109, 63, 22, 2, 4, 2
2025/1/12, 100, 53, 11, 2, 3, 2
2025/1/13, 84, 53, 13, 2, 3, 2
2025/1/14, 89, 50, 17, 3, 3, 2
2025/1/15, 91, 44, 17, 3, 4, 2
2025/1/16, 89, 69, 11, 4, 3, 3
2025/1/17, 98, 59, 12, 4, 3, 3
2025/1/18, 96, 56, 14, 3, 4, 2
2025/1/19, 91, 54, 14, 3, 5, 2
2025/1/20, 88, 55, 12, 4, 2, 2
2025/1/21, 86, 62, 12, 5, 1, 2
2025/1/22, 91, 60, 12, 5, 2, 3
2025/1/23, 92, 55, 12, 4, 2, 4
2025/1/24, 95, 62, 18, 4, 2, 4
2025/1/25, 81, 58, 18, 4, 4, 4
2025/1/26, 87, 57, 12, 3, 3, 4
2025/1/27, 93, 62, 11, 3, 4, 3
2025/1/28, 94, 62, 13, 4, 4, 3
2025/1/29, 94, 62, 14, 5, 4, 2
2025/1/30, 93, 61, 16, 4, 3, 2
2025/1/31, 91, 62, 16, 4, 5, 2
2025/2/1, 92, 62, 12, 5, 6, 2
2025/2/2, 94, 65, 7, 2, 13, 2
2025/2/3, 88, 65, 13, 2, 3, 3
2025/2/4, 91, 63, 18, 4, 3, 2
2025/2/5, 95, 60, 10, 4, 2, 2
2025/2/6, 85, 60, 10, 4, 3, 2
2025/2/7, 89, 68, 10, 4, 7, 2
2025/2/8, 92, 64, 13, 3, 5, 2
2025/2/9, 89, 63, 16, 3, 4, 2
2025/2/10, 95, 74, 18, 4, 2, 3
2025/2/11, 97, 63, 18, 4, 3, 3
2025/2/12, 99, 73, 15, 5, 2, 2
2025/2/13, 90, 70, 6, 6, 1, 2
2025/2/14, 80, 62, 13, 4, 10, 2
2025/2/15, 95, 62, 17, 3, 7, 2
2025/2/16, 89, 63, 16, 3, 4, 2
2025/2/17, 94, 56, 17, 4, 9, 3
2025/2/18, 89, 56, 16, 4, 7, 2
2025/2/19, 94, 55, 13, 5, 2, 2
2025/2/20, 93, 55, 15, 5, 3, 2
2025/2/21, 94, 53, 14, 4, 3, 2
2025/2/22, 84, 54, 15, 4, 3, 2
2025/2/23, 88, 54, 14, 4, 4, 1
2025/2/24, 96, 55, 16, 3, 3, 2
2025/2/25, 98, 55, 15, 3, 3, 2
2025/2/26, 94, 57, 14, 3, 3, 2
2025/2/27, 94, 60, 10, 3, 3, 3
2025/2/28, 87, 59, 12, 3, 3, 3
2025/3/1, 90, 57, 14, 4, 2, 3
2025/3/2, 91, 60, 14, 3, 3, 3
2025/3/3, 90, 60, 12, 4, 1, 3
2025/3/4, 93, 60, 14, 3, 3, 3
2025/3/5, 94, 68, 14, 3, 2, 3
2025/3/6, 93, 60, 12, 3, 4, 3
2025/3/7, 92, 64, 13, 3, 8, 3
2025/3/8, 95, 66, 12, 2, 7, 2
2025/3/9, 86, 69, 13, 2, 4, 2
2025/3/10, 85, 61, 13, 2, 4, 2
2025/3/11, 93, 62, 13, 4, 5, 2
2025/3/12, 91, 65, 13, 5, 5, 2
2025/3/13, 91, 63, 13, 5, 7, 3
2025/3/14, 89, 62, 12, 5, 6, 2
2025/3/15, 86, 61, 14, 4, 6, 2
2025/3/16, 86, 61, 14, 6, 5, 3
2025/3/17, 74, 61, 16, 7, 5, 4
2025/3/18, 79, 62, 12, 4, 9, 2
2025/3/19, 90, 62, 13, 4, 4, 2
2025/3/20, 95, 60, 16, 4, 5, 2
2025/3/21, 103, 58, 14, 5, 2, 2
2025/3/22, 86, 57, 16, 4, 2, 2
2025/3/23, 94, 59, 16, 3, 2, 2
2025/3/24, 103, 65, 17, 3, 2, 3
2025/3/25, 101, 61, 17, 4, 4, 3
2025/3/26, 98, 69, 17, 4, 2, 3
2025/3/27, 106, 72, 17, 4, 12, 3
2025/3/28, 101, 72, 16, 4, 10, 4
2025/3/29, 97, 64, 14, 3, 2, 2
2025/3/30, 89, 64, 29, 3, 5, 3
2025/3/31, 97, 68, 18, 5, 28, 3
2024/10/1, 88, 56, 18, 4, 4, 3
2024/10/2, 88, 58, 17, 5, 4, 3
2024/10/3, 90, 61, 22, 4, 3, 2
2024/10/4, 89, 58, 14, 3, 4, 3
2024/10/5, 85, 57, 2, 3, 4, 3
2024/10/6, 80, 60, 25, 3, 4, 3
2024/10/7, 90, 58, 21, 3, 4, 2
2024/10/8, 86, 61, 16, 4, 8, 3
2024/10/9, 92, 57, 21, 3, 9, 3
2024/10/10, 98, 56, 15, 2, 9, 3
2024/10/11, 87, 57, 16, 3, 5, 3
2024/10/12, 87, 58, 16, 3, 1, 3
2024/10/13, 88, 58, 20, 3, 16, 3
2024/10/14, 95, 59, 14, 4, 2, 3
2024/10/15, 94, 59, 14, 4, 1, 4
2024/10/16, 92, 56, 13, 4, 1, 4
2024/10/17, 91, 57, 14, 5, 1, 3
2024/10/18, 88, 59, 14, 4, 3, 3
2024/10/19, 94, 56, 8, 3, 3, 3
2024/10/20, 91, 56, 16, 3, 3, 3
2024/10/21, 90, 56, 14, 4, 3, 3
2024/10/22, 89, 62, 26, 4, 4, 3
2024/10/23, 91, 64, 26, 4, 4, 3
2024/10/24, 94, 60, 27, 3, 6, 4
2024/10/25, 91, 59, 31, 3, 6, 4
2024/10/26, 97, 58, 40, 2, 5, 4
2024/10/27, 94, 58, 42, 2, 4, 4
2024/10/28, 92, 74, 9, 2, 15, 5
2024/10/29, 97, 59, 32, 3, 1, 4
2024/10/30, 92, 174, 26, 4, 5, 6
2024/10/31, 118, 91, 22, 6, 4, 11
2024/11/1, 121, 63, 26, 5, 1, 5
2024/11/2, 97, 58, 28, 4, 3, 5
2024/11/3, 90, 59, 31, 3, 4, 5
2024/11/4, 99, 65, 37, 4, 4, 5
2024/11/5, 101, 60, 47, 5, 6, 5
2024/11/6, 95, 59, 38, 5, 5, 4
2024/11/7, 91, 58, 30, 4, 5, 4
2024/11/8, 88, 66, 17, 4, 4, 4
2024/11/9, 93, 61, 18, 3, 12, 3
2024/11/10, 92, 78, 19, 3, 3, 3
2024/11/11, 89, 65, 17, 3, 10, 2
2024/11/12, 99, 61, 16, 4, 3, 3
2024/11/13, 95, 65, 12, 4, 2, 3
2024/11/14, 91, 64, 14, 5, 5, 3
2024/11/15, 98, 65, 27, 4, 10, 4
2024/11/16, 96, 65, 29, 3, 7, 3
2024/11/17, 97, 66, 25, 3, 6, 3
2024/11/18, 101, 67, 24, 3, 4, 3
2024/11/19, 93, 74, 28, 4, 4, 2
2024/11/20, 94, 61, 17, 4, 2, 3
2024/11/21, 101, 48, 24, 4, 8, 3
2024/11/22, 93, 51, 23, 3, 4, 4
2024/11/23, 90, 57, 21, 3, 4, 4
2024/11/24, 88, 62, 15, 3, 4, 4
2024/11/25, 92, 60, 15, 3, 5, 4
2024/11/26, 98, 75, 12, 4, 4, 3
2024/11/27, 91, 64, 12, 4, 13, 4
2024/11/28, 91, 54, 13, 4, 6, 3
2024/11/29, 100, 57, 12, 3, 3, 3
2024/11/30, 92, 55, 6, 3, 2, 3
2024/12/1, 87, 54, , 3, , 3
2024/12/2, 83, 53, , 3, , 3
2024/12/3, 93, 65, 13, 3, 2, 3
2024/12/4, 92, 59, 14, 4, 3, 3
2024/12/5, 92, 59, 15, 5, 3, 2
2024/12/6, 93, 61, 12, 4, 2, 2
2024/12/7, 93, 59, 14, 2, 3, 2
2024/12/8, 93, 59, 15, 3, 3, 3
2024/12/9, 99, 61, 18, 3, 4, 3
2024/12/10, 99, 62, 21, 3, 6, 3
2024/12/11, 99, 64, 24, 4, 7, 3
2024/12/12, 93, 72, 29, 4, 6, 3
2024/12/13, 85, 81, 20, 3, 1, 3
2024/12/14, 86, , , , , 
2024/12/16, 93, 71, 11, 4, 5, 4
2024/12/17, 97, 71, 14, 5, 8, 3
2024/12/18, 94, 70, 9, 4, 4, 3
2024/12/19, 93, 57, 17, 4, 2, 3
2024/12/20, 91, 63, 17, 3, 4, 3
2024/12/21, 97, 61, 10, 2, 4, 3
2024/12/22, 102, 77, 12, 2, 7, 3
2024/12/23, 84, 67, 8, 2, 3, 3
2024/12/24, 87, 60, 13, 3, 4, 3
2024/12/25, 90, 55, 11, 3, 2, 2
2024/12/26, 89, 57, 18, 3, 3, 2
2024/12/27, 87, 58, 22, 4, 3, 3
2024/12/28, 91, 58, 23, 5, 4, 3
2024/12/29, 89, , , , , 
2024/7/1, 81, 50, 15, 3, 3, 2
2024/7/2, 90, 52, 15, 3, 4, 3
2024/7/3, 82, 56, 16, 5, 3, 2
2024/7/4, 103, 47, 15, 4, 6, 2
2024/7/5, 76, 52, 17, 3, 5, 5
2024/7/6, 94, 51, 16, 2, 3, 4
2024/7/7, 83, 50, 14, 2, 4, 3
2024/7/8, 77, 48, 10, 3, 2, 2
2024/7/9, 76, , , , , 
2024/7/11, 83, 50, 12, 4, 3, 1
2024/7/12, 73, 50, 8, 3, 1, 1
2024/7/13, 72, 48, 12, 2, 4, 1
2024/7/14, 73, 52, 7, 3, 15, 1
2024/7/15, 73, 50, 7, 3, 14, 1
2024/7/16, 70, 49, 10, 4, 4, 1
2024/7/17, 76, , , , , 
2024/7/19, 148, 47, 12, 3, 3, 1
2024/7/20, 70, 51, 11, 2, 85, 1
2024/7/21, 70, 48, 12, 2, 1, 1
2024/7/22, 95, 50, 11, 3, 2, 1
2024/7/23, 75, 54, 10, 4, 1, 1
2024/7/24, 79, 48, 12, 4, 1, 1
2024/7/25, 70, 50, 16, 3, 2, 2
2024/7/26, 112, 49, 9, 3, 4, 2
2024/7/27, 85, 48, 14, 3, 4, 2
2024/7/28, 83, 49, 10, 4, 3, 2
2024/7/29, 79, 48, 14, 3, 2, 2
2024/7/30, 84, 51, 13, 4, 4, 2
2024/7/31, 82, 48, 7, 5, 4, 2
2024/8/1, 80, , , , , 
2024/8/3, 97, 49, 14, 2, 3, 2
2024/8/4, 80, 54, 21, 3, 3, 2
2024/8/5, 118, 50, 19, 2, 7, 2
2024/8/6, 142, 66, 10, 4, 1, 2
2024/8/7, 175, 57, 8, 4, 4, 2
2024/8/8, 139, 48, 14, 4, 3, 2
2024/8/9, 126, 49, 14, 3, 2, 2
2024/8/10, 97, 49, 11, 3, 2, 2
2024/8/11, 108, 49, 12, 3, 1, 2
2024/8/12, 104, 49, 12, 4, 2, 2
2024/8/13, 96, 49, 12, 4, 3, 2
2024/8/14, 105, 50, 13, 3, 3, 2
2024/8/15, 84, 56, 12, 2, 2, 2
2024/8/16, 122, 53, 12, 2, 5, 2
2024/8/17, 86, 50, 12, 2, 4, 2
2024/8/18, 104, 54, 13, 5, 2, 2
